onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.259	FIXA	8.7	107.3	8.9	106.9	0.023	21.042	1.285	2.899
0.259	0.242	PURS	8.9	106.9	8.2	119.5	0.706	19.599	3.009	4.826
0.501	0.075	ISAC	8.1	120.7	13.7	99.8	1.214	83.950	8.426	20.092
0.576	0.025	IHPS	14.0	99.8	15.0	94.8	0.290	34.785	2.149	12.311
0.626	0.017	ISAC	16.6	83.6	13.8	102.8	1.091	130.756	69.485	69.485
0.643	0.017	IHPS	11.8	102.8	11.8	96.8	0.334	40.051	26.966	26.966
0.659	0.058	FIXA	11.8	96.8	9.6	80.2	0.944	93.202	15.898	22.690
0.718	0.134	SACC	16.3	80.2	-2.5	-150.3	13.007	176.621	109.981	101.161
0.851	0.025	LPSO	-2.5	-154.2	-4.3	-162.5	0.480	57.469	26.223	27.897
0.876	0.342	PURS	-4.3	-182.9	25.7	-92.2	5.378	137.680	14.741	26.718
1.218	0.033	ISAC	25.7	-92.7	7.1	-163.4	4.112	218.178	144.491	127.644
1.252	0.025	ILPS	7.1	-163.4	13.8	-166.8	0.425	37.204	16.312	17.839
1.277	0.192	PURS	16.9	-160.4	24.3	-116.1	2.522	70.088	9.482	17.696
1.469	0.033	ISAC	24.5	-116.0	24.7	-107.2	0.492	58.980	1.667	15.578
1.502	0.050	FIXA	24.7	-107.2	26.0	-104.4	0.176	12.293	4.285	4.563
1.552	0.476	PURS	25.9	-103.2	28.0	-89.3	0.790	14.895	2.181	3.266
2.028	0.058	ISAC	28.0	-88.0	-23.1	-90.6	2.875	121.546	41.774	50.612
2.086	0.192	FIXA	-23.1	-90.6	-21.3	-91.6	0.116	16.358	1.599	3.845
2.278	0.058	ISAC	-19.2	-90.9	61.0	-95.0	4.522	156.827	88.308	81.954
2.336	0.025	ILPS	61.0	-95.0	57.5	-101.9	0.436	42.525	11.065	17.863
2.362	0.033	FIXA	57.5	-101.9	58.1	-84.3	0.989	70.551	24.204	29.740
2.395	0.134	PURS	58.2	-84.3	11.6	-94.7	2.685	200.064	9.681	26.924
2.695	0.150	FIXA	185.4	-31.8	191.3	-25.8	0.534	119.753	9.928	19.605
2.846	0.083	SACC	186.7	-25.3	-65.2	-75.7	14.452	357.481	172.809	181.236
2.929	0.042	FIXA	-65.2	-77.3	-58.6	-73.9	0.414	37.899	10.457	15.630
2.971	0.159	PURS	-58.6	-74.3	10.0	-93.8	4.014	238.163	2.614	31.825
