onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.034	FIXA	61.6	-91.7	60.9	-93.0	0.084	5.420	2.994	2.852
0.034	0.051	ISAC	59.9	-92.8	66.1	-69.2	1.378	82.560	6.077	29.593
0.084	0.067	FIXA	66.1	-69.2	66.7	-69.1	0.032	3.422	0.781	0.906
0.152	0.076	SACC	66.7	-69.8	36.9	-44.3	2.209	122.257	23.641	33.170
0.228	0.017	LPSO	36.3	-45.0	34.9	-47.3	0.152	18.039	12.203	12.203
0.244	0.152	FIXA	34.9	-47.3	40.2	-46.6	0.305	6.117	2.061	2.403
0.396	0.051	ISAC	40.2	-46.6	44.5	-66.7	1.152	57.853	21.815	26.214
0.447	0.076	FIXA	44.5	-66.7	43.0	-67.2	0.093	7.560	1.847	2.673
0.523	0.084	SACC	42.9	-65.8	69.1	-68.9	1.488	137.872	32.205	44.077
0.607	0.034	FIXA	69.1	-68.9	68.8	-69.0	0.017	2.076	1.225	1.131
0.641	0.034	ISAC	68.6	-70.1	63.6	-81.4	0.699	51.988	16.020	22.745
0.674	0.017	ILPS	63.6	-81.4	65.0	-78.1	0.206	24.463	12.232	12.232
0.691	0.126	FIXA	65.0	-78.1	64.9	-78.4	0.020	4.499	0.733	1.365
0.818	0.025	ISAC	65.4	-80.0	67.0	-76.2	0.226	26.824	10.805	12.543
0.843	0.059	FIXA	67.8	-76.0	69.3	-75.9	0.085	10.147	4.087	4.136
0.902	0.042	ISAC	71.5	-77.0	87.7	-89.4	1.150	57.337	45.323	36.918
0.944	0.084	FIXA	88.2	-89.4	89.0	-90.4	0.072	8.514	2.525	3.074
1.028	0.067	SACC	87.1	-90.4	8.6	-82.2	4.443	154.807	85.248	76.009
1.096	0.084	FIXA	8.7	-82.2	13.6	-79.6	0.314	8.764	4.643	4.837
1.180	0.017	ISAC	13.6	-78.6	14.4	-70.5	0.462	54.797	30.509	30.509
1.197	0.177	FIXA	14.4	-70.5	12.8	-67.3	0.195	12.836	1.014	4.283
1.374	0.051	SACC	13.5	-67.3	84.8	-84.4	4.122	141.497	98.688	83.709
1.425	0.025	HPSO	84.8	-84.4	84.6	-95.0	0.600	38.912	32.218	23.710
1.450	0.126	FIXA	84.7	-95.0	82.6	-94.6	0.120	4.163	0.799	1.243
1.576	0.017	ISAC	82.6	-94.0	86.3	-85.3	0.533	63.273	33.753	33.753
1.593	0.110	FIXA	86.3	-85.3	81.9	-91.2	0.415	15.516	4.630	4.629
1.703	0.076	SACC	81.9	-92.9	21.7	-88.4	3.399	115.802	34.168	49.814
1.779	0.110	FIXA	21.7	-88.4	22.7	-86.7	0.114	5.377	0.613	1.381
1.888	0.287	PURS	22.7	-86.0	22.8	-82.9	0.176	10.524	2.247	2.932
2.175	0.051	SACC	22.8	-84.9	60.8	-96.3	2.232	93.290	50.935	49.904
2.226	0.228	FIXA	60.8	-96.7	61.5	-93.2	0.201	11.281	1.408	2.242
2.453	0.076	SACC	61.0	-93.3	14.5	-89.8	2.622	97.289	10.020	36.288
2.529	0.152	FIXA	14.3	-89.8	14.9	-81.9	0.444	48.795	1.438	5.039
2.681	0.084	SACC	13.2	-82.5	58.5	-90.1	2.584	108.609	12.245	33.579
2.765	0.160	FIXA	58.5	-90.1	60.4	-93.0	0.193	8.877	1.560	2.416
2.925	0.025	ISAC	60.4	-93.2	59.6	-98.5	0.303	32.394	3.539	12.423
2.950	0.185	FIXA	59.6	-98.5	57.4	-94.3	0.267	16.955	2.973	4.271
3.136	0.042	ISAC	57.4	-93.3	71.0	-90.5	0.783	43.865	19.639	21.320
3.178	0.303	FIXA	71.1	-90.5	69.0	-95.1	0.285	9.699	1.627	1.857
3.482	0.034	ISAC	70.7	-95.1	79.8	-98.1	0.539	54.980	13.781	22.407
3.515	0.371	FIXA	80.7	-98.1	82.7	-91.1	0.412	14.995	1.236	2.297
