onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.116	FIXA	38.9	-89.2	41.0	-89.1	0.121	7.649	1.653	2.387
0.116	0.025	ISAC	42.3	-89.1	56.6	-90.1	0.806	64.355	33.063	35.415
0.141	0.025	IHPS	56.6	-90.1	60.5	-88.4	0.241	25.499	5.087	10.195
0.166	0.200	FIXA	60.8	-88.4	61.6	-88.0	0.048	12.170	1.294	2.064
0.366	0.017	ISAC	62.3	-89.1	67.6	-89.1	0.299	36.013	22.242	22.242
0.383	0.266	FIXA	67.6	-88.2	65.1	-94.7	0.392	11.016	1.517	2.438
0.649	0.067	SACC	65.1	-95.4	14.1	-115.3	3.080	168.721	44.801	51.728
0.715	0.050	FIXA	13.5	-115.3	13.9	-114.5	0.047	7.011	3.717	3.702
0.765	0.299	PURS	14.5	-114.7	24.2	-111.6	0.571	21.416	3.827	5.265
1.064	0.050	SACC	24.3	-110.5	52.1	-107.7	1.572	88.108	24.756	34.266
1.114	0.241	FIXA	52.3	-107.7	49.3	-111.2	0.258	41.260	1.064	3.197
1.355	0.033	ISAC	49.7	-111.6	53.3	-105.3	0.410	48.013	2.644	13.614
1.389	0.058	FIXA	53.4	-105.4	52.7	-104.9	0.046	3.153	1.389	1.630
1.447	0.058	SACC	52.7	-104.3	78.5	-114.0	1.547	94.216	4.300	28.140
1.505	0.116	FIXA	78.5	-114.0	75.4	-110.0	0.284	11.057	2.847	3.812
1.621	0.125	SACC	75.4	-109.4	14.6	-110.5	3.417	138.996	4.676	32.497
1.746	0.200	FIXA	14.6	-110.5	17.0	-114.4	0.257	7.007	1.625	2.209
1.946	0.058	ISAC	16.9	-114.5	15.2	-111.2	0.209	19.717	5.952	6.576
2.004	0.150	FIXA	15.2	-111.3	13.8	-111.0	0.080	2.759	0.858	0.945
2.154	0.050	SACC	13.8	-111.0	56.9	-116.4	2.443	110.327	40.982	49.961
2.204	0.274	FIXA	56.8	-117.1	59.3	-113.4	0.252	8.843	1.079	2.233
2.478	0.017	ISAC	59.3	-113.5	59.3	-116.9	0.193	23.251	11.953	11.953
2.495	0.175	FIXA	59.3	-116.9	58.9	-117.6	0.043	5.428	1.277	1.565
2.669	0.058	SACC	58.9	-116.7	76.5	-108.6	1.088	69.333	15.372	22.784
2.727	0.241	FIXA	76.8	-108.6	71.1	-105.4	0.365	9.747	1.271	2.439
2.969	0.033	ISAC	71.1	-106.2	71.2	-114.1	0.444	49.015	4.476	14.693
3.002	0.025	ILPS	70.7	-114.1	68.1	-116.2	0.184	17.263	13.921	11.528
3.027	0.033	FIXA	68.1	-120.4	65.1	-124.3	0.278	28.924	17.140	16.621
3.060	0.258	PURS	61.9	-125.5	61.7	-113.2	0.695	25.121	4.727	7.138
3.318	0.050	SACC	62.3	-113.2	110.3	-116.7	2.705	125.997	48.204	55.082
3.368	0.241	PURS	111.1	-116.6	111.7	-139.2	1.271	38.680	3.346	7.585
3.609	0.058	SACC	106.1	-139.2	58.7	-68.4	4.790	214.839	99.951	93.449
3.667	0.175	PURS	59.5	-68.4	64.6	-89.1	1.201	56.955	9.171	14.760
